linkedin_id,instagram_id,match,confidence,similarity_score,name_similarity,location_similarity,content_similarity,difficulty
ln_0030,ig_0030,1,0.776,0.704,1.0,0.651,0.577,hard
ln_0031,ig_0031,1,0.924,0.867,1.0,0.895,0.699,easy
ln_0032,ig_0032,1,0.768,0.658,1.0,0.631,0.735,hard
ln_0033,ig_0033,1,0.771,0.692,1.0,0.774,0.709,hard
ln_0034,ig_0034,1,0.93,0.82,1.0,0.763,0.516,easy
ln_0035,ig_0035,1,0.94,0.803,1.0,0.608,0.459,easy
ln_0036,ig_0036,1,0.844,0.769,1.0,0.72,0.474,medium
ln_0037,ig_0037,1,0.873,0.807,1.0,0.719,0.644,medium
ln_0038,ig_0038,1,0.754,0.705,1.0,0.808,0.645,hard
ln_0039,ig_0039,1,0.779,0.674,1.0,0.86,0.539,hard
ln_0040,ig_0040,1,0.824,0.755,1.0,0.645,0.561,medium
ln_0041,ig_0041,1,0.931,0.85,1.0,0.74,0.714,easy
ln_0042,ig_0042,1,0.847,0.765,1.0,0.753,0.683,medium
ln_0043,ig_0043,1,0.946,0.853,1.0,0.763,0.698,easy
ln_0044,ig_0044,1,0.777,0.719,1.0,0.684,0.416,hard
ln_0045,ig_0045,1,0.951,0.843,1.0,0.644,0.559,easy
ln_0046,ig_0046,1,0.961,0.836,1.0,0.849,0.78,easy
ln_0047,ig_0047,1,0.792,0.705,1.0,0.621,0.759,hard
ln_0048,ig_0048,1,0.799,0.714,1.0,0.83,0.469,hard
ln_0049,ig_0049,1,0.816,0.713,1.0,0.693,0.674,medium
ln_0050,ig_0050,1,0.811,0.72,1.0,0.607,0.452,medium
ln_0051,ig_0051,1,0.846,0.726,1.0,0.862,0.523,medium
ln_0052,ig_0052,1,0.894,0.849,1.0,0.743,0.694,medium
ln_0053,ig_0053,1,0.964,0.839,1.0,0.629,0.677,easy
ln_0054,ig_0054,1,0.897,0.764,1.0,0.845,0.734,medium
ln_0055,ig_0055,1,0.806,0.748,1.0,0.764,0.518,medium
ln_0056,ig_0056,1,0.766,0.713,1.0,0.762,0.441,hard
ln_0057,ig_0057,1,0.829,0.706,1.0,0.703,0.633,medium
ln_0058,ig_0058,1,0.968,0.894,1.0,0.813,0.488,easy
ln_0059,ig_0059,1,0.886,0.813,1.0,0.707,0.505,medium
ln_0060,ig_0060,1,0.763,0.666,1.0,0.733,0.695,hard
ln_0061,ig_0061,1,0.826,0.708,1.0,0.83,0.788,medium
ln_0062,ig_0062,1,0.844,0.801,1.0,0.633,0.555,medium
ln_0063,ig_0063,1,0.965,0.906,1.0,0.856,0.536,easy
ln_0064,ig_0064,1,0.82,0.699,1.0,0.671,0.552,medium
ln_0065,ig_0065,1,0.829,0.738,1.0,0.87,0.586,medium
ln_0066,ig_0066,1,0.815,0.698,1.0,0.722,0.502,medium
ln_0067,ig_0067,1,0.94,0.825,1.0,0.747,0.437,easy
ln_0068,ig_0068,1,0.833,0.733,1.0,0.718,0.632,medium
ln_0069,ig_0069,1,0.858,0.77,1.0,0.712,0.509,medium
ln_0070,ig_0070,1,0.92,0.814,1.0,0.64,0.699,easy
ln_0071,ig_0071,1,0.921,0.831,1.0,0.741,0.698,easy
ln_0072,ig_0072,1,0.945,0.825,1.0,0.734,0.495,easy
ln_0073,ig_0073,1,0.819,0.704,1.0,0.673,0.49,medium
ln_0074,ig_0074,1,0.952,0.89,1.0,0.658,0.493,easy
ln_0075,ig_0075,1,0.935,0.848,1.0,0.691,0.656,easy
ln_0076,ig_0076,1,0.877,0.814,1.0,0.649,0.47,medium
ln_0077,ig_0077,1,0.786,0.682,1.0,0.772,0.623,hard
ln_0078,ig_0078,1,0.81,0.713,1.0,0.838,0.439,medium
ln_0079,ig_0079,1,0.822,0.767,1.0,0.898,0.767,medium
ln_0080,ig_0080,1,0.833,0.714,1.0,0.77,0.41,medium
ln_0081,ig_0081,1,0.89,0.834,1.0,0.652,0.536,medium
ln_0082,ig_0082,1,0.763,0.678,1.0,0.689,0.697,hard
ln_0083,ig_0083,1,0.958,0.815,1.0,0.836,0.554,easy
ln_0084,ig_0084,1,0.778,0.721,1.0,0.707,0.563,hard
ln_0085,ig_0085,1,0.931,0.868,1.0,0.826,0.662,easy
ln_0086,ig_0086,1,0.98,0.927,1.0,0.611,0.677,easy
ln_0087,ig_0087,1,0.836,0.717,1.0,0.753,0.536,medium
ln_0088,ig_0088,1,0.768,0.672,1.0,0.602,0.477,hard
ln_0089,ig_0089,1,0.971,0.838,1.0,0.678,0.642,easy
ln_0090,ig_0090,1,0.896,0.843,1.0,0.611,0.582,medium
ln_0091,ig_0091,1,0.891,0.78,1.0,0.72,0.469,medium
ln_0092,ig_0092,1,0.825,0.702,1.0,0.839,0.679,medium
ln_0093,ig_0093,1,0.855,0.755,1.0,0.849,0.595,medium
ln_0094,ig_0094,1,0.976,0.875,1.0,0.688,0.788,easy
ln_0095,ig_0095,1,0.761,0.668,1.0,0.838,0.709,hard
ln_0096,ig_0096,1,0.757,0.655,1.0,0.736,0.755,hard
ln_0097,ig_0097,1,0.848,0.724,1.0,0.79,0.632,medium
ln_0098,ig_0098,1,0.928,0.875,1.0,0.768,0.624,easy
ln_0099,ig_0099,1,0.774,0.687,1.0,0.667,0.733,hard
ln_0100,ig_0100,1,0.871,0.784,1.0,0.888,0.466,medium
ln_0101,ig_0101,1,0.817,0.713,1.0,0.614,0.528,medium
ln_0102,ig_0102,1,0.785,0.717,1.0,0.627,0.552,hard
ln_0103,ig_0103,1,0.827,0.722,1.0,0.648,0.53,medium
ln_0104,ig_0104,1,0.769,0.717,1.0,0.813,0.706,hard
ln_0105,ig_0105,1,0.836,0.784,1.0,0.879,0.47,medium
ln_0106,ig_0106,1,0.856,0.808,1.0,0.786,0.73,medium
ln_0107,ig_0107,1,0.866,0.779,1.0,0.712,0.587,medium
ln_0108,ig_0108,1,0.901,0.827,1.0,0.603,0.675,easy
ln_0109,ig_0109,1,0.809,0.729,1.0,0.617,0.71,medium
ln_0110,ig_0110,1,0.897,0.814,1.0,0.81,0.529,medium
ln_0111,ig_0111,1,0.76,0.659,1.0,0.731,0.588,hard
ln_0112,ig_0112,1,0.823,0.766,1.0,0.753,0.437,medium
ln_0113,ig_0113,1,0.856,0.803,1.0,0.63,0.691,medium
ln_0114,ig_0114,1,0.913,0.866,1.0,0.86,0.691,easy
ln_0115,ig_0115,1,0.923,0.842,1.0,0.807,0.558,easy
ln_0116,ig_0116,1,0.846,0.75,1.0,0.643,0.563,medium
ln_0117,ig_0117,1,0.979,0.839,1.0,0.778,0.461,easy
ln_0118,ig_0118,1,0.953,0.82,1.0,0.649,0.543,easy
ln_0119,ig_0119,1,0.973,0.842,1.0,0.885,0.797,easy
ln_0120,ig_0120,1,0.823,0.719,1.0,0.601,0.415,medium
ln_0121,ig_0121,1,0.931,0.842,1.0,0.87,0.792,easy
ln_0122,ig_0122,1,0.778,0.714,1.0,0.763,0.6,hard
ln_0123,ig_0123,1,0.957,0.864,1.0,0.697,0.586,easy
ln_0124,ig_0124,1,0.798,0.745,1.0,0.798,0.573,hard
ln_0125,ig_0125,1,0.765,0.718,1.0,0.602,0.542,hard
ln_0126,ig_0126,1,0.877,0.815,1.0,0.854,0.777,medium
ln_0127,ig_0127,1,0.935,0.803,1.0,0.668,0.648,easy
ln_0128,ig_0128,1,0.767,0.708,1.0,0.675,0.581,hard
ln_0129,ig_0129,1,0.885,0.775,1.0,0.874,0.617,medium
ln_0130,ig_0130,1,0.837,0.774,1.0,0.897,0.661,medium
ln_0131,ig_0131,1,0.907,0.812,1.0,0.708,0.448,easy
ln_0132,ig_0132,1,0.831,0.74,1.0,0.816,0.481,medium
ln_0133,ig_0133,1,0.804,0.689,1.0,0.888,0.4,medium
ln_0134,ig_0134,1,0.825,0.704,1.0,0.714,0.555,medium
ln_0135,ig_0135,1,0.757,0.674,1.0,0.676,0.69,hard
ln_0136,ig_0136,1,0.903,0.845,1.0,0.653,0.754,easy
ln_0137,ig_0137,1,0.832,0.759,1.0,0.736,0.512,medium
ln_0138,ig_0138,1,0.915,0.812,1.0,0.679,0.522,easy
ln_0139,ig_0139,1,0.772,0.728,1.0,0.758,0.532,hard
ln_0140,ig_0140,1,0.918,0.87,1.0,0.748,0.423,easy
ln_0141,ig_0141,1,0.888,0.811,1.0,0.636,0.508,medium
ln_0142,ig_0142,1,0.913,0.862,1.0,0.606,0.784,easy
ln_0143,ig_0143,1,0.876,0.795,1.0,0.84,0.636,medium
ln_0144,ig_0144,1,0.866,0.762,1.0,0.625,0.425,medium
ln_0145,ig_0145,1,0.914,0.791,1.0,0.842,0.741,easy
ln_0146,ig_0146,1,0.863,0.744,1.0,0.651,0.443,medium
ln_0147,ig_0147,1,0.84,0.773,1.0,0.833,0.555,medium
ln_0148,ig_0148,1,0.953,0.862,1.0,0.728,0.524,easy
ln_0149,ig_0149,1,0.821,0.761,1.0,0.787,0.496,medium
ln_0150,ig_0150,1,0.969,0.871,1.0,0.691,0.463,easy
ln_0151,ig_0151,1,0.782,0.727,1.0,0.773,0.798,hard
ln_0152,ig_0152,1,0.773,0.721,1.0,0.635,0.642,hard
ln_0153,ig_0153,1,0.948,0.868,1.0,0.86,0.404,easy
ln_0154,ig_0154,1,0.927,0.803,1.0,0.66,0.76,easy
ln_0155,ig_0155,1,0.914,0.858,1.0,0.832,0.62,easy
ln_0156,ig_0156,1,0.903,0.853,1.0,0.71,0.651,easy
ln_0157,ig_0157,1,0.858,0.764,1.0,0.886,0.687,medium
ln_0158,ig_0158,1,0.906,0.776,1.0,0.698,0.716,easy
ln_0159,ig_0159,1,0.769,0.672,1.0,0.606,0.507,hard
ln_0160,ig_0160,1,0.901,0.824,1.0,0.625,0.782,easy
ln_0161,ig_0161,1,0.823,0.726,1.0,0.869,0.65,medium
ln_0162,ig_0162,1,0.8,0.722,1.0,0.717,0.556,hard
ln_0163,ig_0163,1,0.796,0.692,1.0,0.683,0.542,hard
ln_0164,ig_0164,1,0.923,0.829,1.0,0.73,0.705,easy
ln_0165,ig_0165,1,0.791,0.749,1.0,0.821,0.796,hard
ln_0166,ig_0166,1,0.885,0.78,1.0,0.749,0.502,medium
ln_0167,ig_0167,1,0.959,0.852,1.0,0.658,0.526,easy
ln_0168,ig_0168,1,0.775,0.681,1.0,0.851,0.737,hard
ln_0169,ig_0169,1,0.806,0.698,1.0,0.791,0.726,medium
ln_0170,ig_0170,1,0.857,0.791,1.0,0.82,0.61,medium
ln_0171,ig_0171,1,0.946,0.883,1.0,0.613,0.791,easy
ln_0172,ig_0172,1,0.928,0.849,1.0,0.699,0.6,easy
ln_0173,ig_0173,1,0.752,0.639,1.0,0.707,0.46,hard
ln_0174,ig_0174,1,0.939,0.823,1.0,0.681,0.769,easy
ln_0175,ig_0175,1,0.759,0.713,1.0,0.822,0.405,hard
ln_0176,ig_0176,1,0.978,0.918,1.0,0.776,0.449,easy
ln_0177,ig_0177,1,0.771,0.689,1.0,0.684,0.633,hard
ln_0178,ig_0178,1,0.952,0.839,1.0,0.638,0.775,easy
ln_0179,ig_0179,1,0.85,0.745,1.0,0.801,0.426,medium
ln_0180,ig_0180,1,0.857,0.789,1.0,0.654,0.736,medium
ln_0181,ig_0181,1,0.907,0.832,1.0,0.661,0.595,easy
ln_0182,ig_0182,1,0.839,0.783,1.0,0.684,0.622,medium
ln_0183,ig_0183,1,0.793,0.748,1.0,0.651,0.504,hard
ln_0184,ig_0184,1,0.814,0.763,1.0,0.628,0.494,medium
ln_0185,ig_0185,1,0.892,0.785,1.0,0.607,0.601,medium
ln_0186,ig_0186,1,0.959,0.861,1.0,0.816,0.652,easy
ln_0187,ig_0187,1,0.883,0.79,1.0,0.842,0.796,medium
ln_0188,ig_0188,1,0.792,0.697,1.0,0.863,0.661,hard
ln_0189,ig_0189,1,0.876,0.76,1.0,0.676,0.729,medium
ln_0190,ig_0190,1,0.894,0.783,1.0,0.642,0.465,medium
ln_0191,ig_0191,1,0.899,0.832,1.0,0.74,0.799,medium
ln_0192,ig_0192,1,0.944,0.877,1.0,0.818,0.432,easy
ln_0193,ig_0193,1,0.779,0.713,1.0,0.833,0.504,hard
ln_0194,ig_0194,1,0.921,0.808,1.0,0.762,0.745,easy
ln_0195,ig_0195,1,0.896,0.841,1.0,0.658,0.575,medium
ln_0196,ig_0196,1,0.961,0.842,1.0,0.738,0.491,easy
ln_0197,ig_0197,1,0.825,0.735,1.0,0.778,0.677,medium
ln_0198,ig_0198,1,0.907,0.775,1.0,0.878,0.731,easy
ln_0199,ig_0199,1,0.917,0.86,1.0,0.897,0.672,easy
ln_0200,ig_0200,1,0.938,0.808,1.0,0.668,0.472,easy
ln_0198,ig_0057,0,0.452,0.362,0.31,0.004,0.109,hard
ln_0468,ig_0262,0,0.334,0.267,0.341,0.316,0.116,medium
ln_0372,ig_0305,0,0.228,0.183,0.387,0.123,0.283,medium
ln_0492,ig_0160,0,0.387,0.31,0.372,0.21,0.222,medium
ln_0222,ig_0033,0,0.327,0.261,0.363,0.459,0.216,medium
ln_0403,ig_0458,0,0.464,0.371,0.219,0.388,0.205,hard
ln_0294,ig_0036,0,0.214,0.172,0.048,0.201,0.385,medium
ln_0374,ig_0344,0,0.182,0.145,0.353,0.072,0.261,easy
ln_0420,ig_0288,0,0.279,0.223,0.377,0.027,0.086,medium
ln_0488,ig_0013,0,0.423,0.339,0.268,0.189,0.161,hard
ln_0113,ig_0305,0,0.309,0.247,0.314,0.415,0.043,medium
ln_0368,ig_0136,0,0.311,0.249,0.083,0.1,0.315,medium
ln_0057,ig_0243,0,0.463,0.371,0.228,0.441,0.006,hard
ln_0105,ig_0479,0,0.138,0.11,0.345,0.341,0.337,easy
ln_0395,ig_0044,0,0.354,0.283,0.158,0.36,0.099,medium
ln_0102,ig_0346,0,0.248,0.198,0.306,0.191,0.088,medium
ln_0257,ig_0266,0,0.362,0.289,0.296,0.035,0.362,medium
ln_0275,ig_0073,0,0.34,0.272,0.348,0.1,0.302,medium
ln_0473,ig_0057,0,0.207,0.165,0.073,0.076,0.38,medium
ln_0093,ig_0146,0,0.495,0.396,0.175,0.114,0.386,hard
ln_0245,ig_0266,0,0.49,0.392,0.225,0.145,0.38,hard
ln_0125,ig_0114,0,0.245,0.196,0.102,0.157,0.271,medium
ln_0185,ig_0379,0,0.33,0.264,0.265,0.232,0.21,medium
ln_0335,ig_0192,0,0.181,0.145,0.121,0.35,0.336,easy
ln_0282,ig_0041,0,0.445,0.356,0.073,0.441,0.248,hard
ln_0134,ig_0197,0,0.45,0.36,0.386,0.093,0.123,hard
ln_0278,ig_0316,0,0.294,0.235,0.369,0.103,0.186,medium
ln_0292,ig_0302,0,0.323,0.259,0.061,0.043,0.036,medium
ln_0132,ig_0190,0,0.375,0.3,0.173,0.121,0.257,medium
ln_0123,ig_0029,0,0.21,0.168,0.032,0.349,0.113,medium
ln_0302,ig_0269,0,0.396,0.316,0.066,0.497,0.054,medium
ln_0072,ig_0413,0,0.102,0.081,0.255,0.15,0.105,easy
ln_0064,ig_0275,0,0.152,0.122,0.109,0.477,0.098,easy
ln_0118,ig_0464,0,0.4,0.32,0.057,0.406,0.357,hard
ln_0290,ig_0365,0,0.225,0.18,0.143,0.485,0.37,medium
ln_0021,ig_0043,0,0.357,0.286,0.02,0.399,0.115,medium
ln_0348,ig_0031,0,0.36,0.288,0.382,0.237,0.137,medium
ln_0156,ig_0335,0,0.193,0.154,0.356,0.311,0.325,easy
ln_0064,ig_0264,0,0.293,0.235,0.057,0.107,0.373,medium
ln_0369,ig_0284,0,0.118,0.094,0.361,0.314,0.294,easy
ln_0465,ig_0214,0,0.339,0.271,0.18,0.012,0.347,medium
ln_0132,ig_0220,0,0.378,0.302,0.15,0.475,0.192,medium
ln_0349,ig_0354,0,0.367,0.294,0.358,0.116,0.362,medium
ln_0489,ig_0031,0,0.424,0.339,0.337,0.472,0.254,hard
ln_0063,ig_0002,0,0.301,0.241,0.391,0.051,0.167,medium
ln_0176,ig_0064,0,0.29,0.232,0.333,0.195,0.057,medium
ln_0412,ig_0322,0,0.194,0.155,0.001,0.021,0.307,easy
ln_0212,ig_0275,0,0.351,0.281,0.337,0.103,0.04,medium
ln_0178,ig_0312,0,0.107,0.086,0.012,0.255,0.023,easy
ln_0101,ig_0494,0,0.236,0.189,0.303,0.226,0.026,medium
ln_0031,ig_0479,0,0.133,0.107,0.069,0.298,0.316,easy
ln_0394,ig_0410,0,0.459,0.367,0.196,0.368,0.358,hard
ln_0076,ig_0414,0,0.476,0.381,0.25,0.131,0.271,hard
ln_0078,ig_0031,0,0.281,0.225,0.003,0.39,0.023,medium
ln_0474,ig_0001,0,0.166,0.132,0.221,0.467,0.392,easy
ln_0380,ig_0302,0,0.496,0.397,0.199,0.175,0.166,hard
ln_0025,ig_0266,0,0.274,0.219,0.233,0.071,0.003,medium
ln_0032,ig_0399,0,0.101,0.081,0.096,0.381,0.025,easy
ln_0106,ig_0007,0,0.478,0.382,0.221,0.081,0.399,hard
ln_0143,ig_0376,0,0.161,0.129,0.323,0.38,0.348,easy
ln_0157,ig_0047,0,0.319,0.255,0.124,0.048,0.293,medium
ln_0130,ig_0178,0,0.202,0.162,0.29,0.484,0.225,medium
ln_0261,ig_0194,0,0.2,0.16,0.361,0.339,0.31,easy
ln_0245,ig_0048,0,0.2,0.16,0.239,0.286,0.149,medium
ln_0095,ig_0230,0,0.12,0.096,0.272,0.225,0.215,easy
ln_0008,ig_0497,0,0.167,0.133,0.089,0.343,0.129,easy
ln_0136,ig_0089,0,0.226,0.18,0.07,0.011,0.296,medium
ln_0213,ig_0270,0,0.416,0.333,0.344,0.047,0.333,hard
ln_0366,ig_0182,0,0.266,0.213,0.138,0.153,0.222,medium
ln_0346,ig_0242,0,0.349,0.279,0.057,0.344,0.282,medium
ln_0027,ig_0056,0,0.379,0.303,0.214,0.088,0.046,medium
ln_0340,ig_0301,0,0.188,0.15,0.154,0.22,0.025,easy
ln_0141,ig_0370,0,0.201,0.161,0.167,0.408,0.381,medium
ln_0112,ig_0408,0,0.291,0.233,0.147,0.405,0.015,medium
ln_0183,ig_0100,0,0.43,0.344,0.267,0.372,0.394,hard
ln_0473,ig_0306,0,0.114,0.091,0.262,0.329,0.065,easy
ln_0483,ig_0317,0,0.192,0.153,0.041,0.195,0.134,easy
ln_0446,ig_0416,0,0.498,0.399,0.033,0.289,0.375,hard
ln_0207,ig_0369,0,0.242,0.194,0.25,0.102,0.183,medium
ln_0344,ig_0348,0,0.242,0.194,0.242,0.085,0.306,medium
ln_0001,ig_0394,0,0.13,0.104,0.394,0.39,0.124,easy
ln_0172,ig_0224,0,0.354,0.283,0.184,0.106,0.08,medium
ln_0141,ig_0100,0,0.234,0.187,0.337,0.218,0.218,medium
ln_0186,ig_0004,0,0.151,0.12,0.251,0.272,0.335,easy
ln_0324,ig_0121,0,0.44,0.352,0.382,0.282,0.237,hard
ln_0109,ig_0294,0,0.433,0.347,0.092,0.286,0.217,hard
ln_0338,ig_0374,0,0.123,0.098,0.016,0.232,0.393,easy
ln_0278,ig_0133,0,0.221,0.177,0.17,0.173,0.028,medium
ln_0027,ig_0488,0,0.22,0.176,0.28,0.025,0.26,medium
ln_0178,ig_0086,0,0.138,0.11,0.34,0.261,0.01,easy
ln_0446,ig_0312,0,0.419,0.335,0.297,0.264,0.29,hard
ln_0189,ig_0489,0,0.345,0.276,0.362,0.048,0.28,medium
ln_0023,ig_0103,0,0.454,0.363,0.014,0.358,0.2,hard
ln_0402,ig_0109,0,0.296,0.237,0.134,0.129,0.059,medium
ln_0141,ig_0359,0,0.497,0.398,0.199,0.171,0.192,hard
ln_0498,ig_0409,0,0.171,0.137,0.362,0.31,0.271,easy
ln_0438,ig_0472,0,0.193,0.154,0.391,0.24,0.398,easy
ln_0456,ig_0206,0,0.46,0.368,0.374,0.206,0.284,hard
ln_0151,ig_0178,0,0.21,0.168,0.075,0.238,0.158,medium
ln_0343,ig_0208,0,0.418,0.335,0.347,0.49,0.178,hard
